"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"16046029","LABORERS PACIFIC SOUTHWEST REGIONAL ORGANIZING COALITION","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",12750
"1618","MANATT PHELPS & PHILLIPS","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",100,0,"#0000FFAF","#0000FFAF",23700.43
"16191043","NOBLE AMERICAS ENERGY SOLUTIONS","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",100,0,"#0000FFAF","#0000FFAF",13250
"16197285","DREYER BABICH BUCCOLA WOOD & CAMPORA LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",21000
"16207028","NAPA COUNTY DEMOCRATIC CENTRAL CMTE OF CALIFORNIA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",305000
"16334","T-MOBILE","Telecom Services & Equipment","Communications & Electronics","Paging & cellular phones and services",81.8181818181818,18.1818181818182,"#00009EAF","#00009EAF",5500
"16339","TAKEDA PHARMACEUTICALS","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",91.6666666666667,8.33333333333333,"#0000D1AF","#0000D1AF",12000
"16387","TECHNET CALIFORNIA","Business Services","General Business","Political consultants & advisers",100,0,"#0000FFAF","#0000FFAF",6000
"1639","MARRIOTT INTERNATIONAL","Lodging & Tourism","General Business","Hotels & motels",84.3421324584015,15.6578675415985,"#0000ADAF","#0000ADAF",22352.98
"16394","TEJON RANCH","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",15.7232704402516,84.2767295597484,"#B30000AF","#B30000AF",15900
"1650145","US HEALTHWORKS","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",3250
"165043","GRAY GREER SHELBY & VAUGHN LLC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",2500
"16508691","UNITED AUBURN INDIAN COMMUNITY OF THE URBAN RANCHERIA","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",41.6666666666667,58.3333333333333,"#2E0000AF","#2E0000AF",3600
"16533897","RENEWABLE FUNDING LLC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",6000
"16534106","REPLANET LLC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",4000
"16638","TRI-CAL INC","Agricultural Services & Products","Agriculture","Agricultural chemicals (fertilizers & pesticides)",100,0,"#0000FFAF","#0000FFAF",12250
