"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"290457","DISTRICT COUNCIL OF IRONWORKERS OF THE STATE OF CALIFORNIA & VICINITY","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",72650
"19134","AFSCME LOCAL 3299","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",12600
"19775","TEAMSTERS LOCAL 287","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",7700
"10764","CALIFORNIA INDEPENDENT OIL MARKETERS ASSOCIATION","Oil & Gas","Energy & Natural Resources","Gasoline service stations",21.6095380029806,78.3904619970194,"#940000AF","#940000AF",33550
"20103","NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",36300
"13753","LOS ANGELES COLLEGE FACULTY GUILD LOCAL 1521","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",29850
"11222","COLLATERAL LOAN & SECONDHAND DEALERS ASSOCIATION","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",21.0526315789474,78.9473684210526,"#940000AF","#940000AF",9500
"10779","CALIFORNIA ORTHOPAEDIC ASSOCIATION","Health Professionals","Health","Other physician specialists",64.2857142857143,35.7142857142857,"#000047AF","#000047AF",7000
"16206805","CALIFORNIA PRINT","Printing & Publishing","Communications & Electronics","Commercial printing & typesetting",0,100,"#FF0000AF","#FF0000AF",12100
"11932","EMS MANAGEMENT","Health Services","Health","Health care services",35.4706684856753,64.5293315143247,"#4D0000AF","#4D0000AF",36650
"1599","MACYS INC","Retail Sales","General Business","Department, variety & convenience stores",80,20,"#000099AF","#000099AF",25000
"7991","NATIONAL ASSOCIATION OF INSURANCE & FINANCIAL ADVISORS","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",73.5294117647059,26.4705882352941,"#000075AF","#000075AF",34000
"32651","SOLARCITY","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",93.1214747558123,6.87852524418765,"#0000DBAF","#0000DBAF",29076
"20698","AUTO WORKERS REGION 5","Transportation Unions","Labor","Automotive unions",100,0,"#0000FFAF","#0000FFAF",91500
"38560249","FOOD & COMMERCIAL WORKERS LOCAL 5","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",27700
"10737","CALIFORNIA ASSOCIATION OF WINEGRAPE GROWERS","Beer, Wine & Liquor","General Business","Wine & distilled spirits manufacturing",88.3122954651706,11.6877045348294,"#0000C2AF","#0000C2AF",12834
"2838","WESTERN UNITED DAIRYMENS ASSOCIATION","Dairy","Agriculture","Dairy farmers & wholesale and retail milk, cheese and ice cream dealers",37.3831775700935,62.6168224299065,"#420000AF","#420000AF",40125
"20662","PLUMBERS & PIPEFITTERS LOCAL 78","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",34400
"38567015","CA ASSOCIATION OF HEALTH PLANS","Uncoded","Uncoded","Uncoded",67.0138888888889,32.9861111111111,"#000057AF","#000057AF",28800
"19978","CONSTRUCTION & GENERAL LABORERS LOCAL 304","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",12300
"2034","PFIZER","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",85.4368932038835,14.5631067961165,"#0000B3AF","#0000B3AF",51500
"20057","LABORERS LOCAL 507","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",12000
"4029","LOS ALAMITOS RACE COURSE","Gambling & Casinos","General Business","Casinos, racetracks & gambling",19.2212912764909,80.7787087235091,"#9E0000AF","#9E0000AF",20290
"22246","JOHN CHIANG FOR CONTROLLER 2010","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",11478
"37999108","AMGEN","Pharmaceuticals & Health Products","Health","Biotech products & research",74.5041319006373,25.4958680993627,"#00007AAF","#00007AAF",48722.13
"4120","NATIONAL ASSOCIATION OF INDUSTRIAL & OFFICE PROPERTIES","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",7.32600732600733,92.6739926739927,"#DB0000AF","#DB0000AF",13650
"13604","LAW OFFICES OF SHAWN STEEL","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",0,100,"#FF0000AF","#FF0000AF",18000
"6893","GAY & LESBIAN VICTORY FUND","Gay/Lesbian Rights & Issues","Ideology/Single Issue","Gay & lesbian rights and issues",100,0,"#0000FFAF","#0000FFAF",13700
"25138371","FOOTHILL-DE ANZA FACULTY ASSOCIATION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",4500
"31935","ASSOCIATED FEED","Agricultural Services & Products","Agriculture","Animal feed & health products",0,100,"#FF0000AF","#FF0000AF",6400
"1990","PARSONS BRINCKERHOFF QUADE & DOUGLAS","Construction Services","Construction","Engineering, architecture & construction management services",84.1423948220065,12.9449838187702,"#0000ADAF","#0000BDAF",7725
"83220","WATT PAC INC","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",100,0,"#0000FFAF","#0000FFAF",4900
"35965","WESTERN MUTUAL INSURANCE CO","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",15650
"264058","NATIONAL PEACE OFFICERS & FIRE FIGHTERS BENEFIT ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",11.9760479041916,88.0239520958084,"#C70000AF","#C70000AF",8350
"3291","CALIFORNIA GROCERS ASSOCIATION","Food Processing & Sales","Agriculture","Food stores",54.5585833004744,45.4414166995256,"#000014AF","#000014AF",34795.24
"13797435","CALIFORNIA ENERGY EFFICIENCY INDUSTRY COUNCIL","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",5302.1
"10761","CALIFORNIA GRAIN & FEED ASSOCIATION","Livestock","Agriculture","Feedlots & related livestock services",70.2402294729294,29.7597705270706,"#000066AF","#000066AF",27890
"13477497","CALIFORNIA TRAILBLAZERS","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",20743.28
"10053","APARTMENT ASSOCIATION OF ORANGE COUNTY","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",0,100,"#FF0000AF","#FF0000AF",8600
"15648","RUCKA OBOYLE LOMBARDO & MCKENNA","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",7650
"22346","TONY MENDOZA CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",12539.53
"79670","TRIANGLE DISTRIBUTING CO","Beer, Wine & Liquor","General Business","Beer",100,0,"#0000FFAF","#0000FFAF",12902.8
"9621","STATIONARY ENGINEERS LOCAL 39","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",4600
"22508","HEAT & FROST INSULATORS LOCAL 16","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",11460
"2021","PEPSICO","Food & Beverage","General Business","Beverages (non-alcoholic)",70.5851207774941,29.4148792225059,"#000066AF","#000066AF",61193.52
