"node_1","node_2","edge"
10717,10795,3
10723,10795,3
10725,10795,5
10726,10795,3
10734,10795,4
10737,10795,3
10751,10795,3
10753,10795,3
10761,10795,3
10764,10795,3
10766,10795,2
10774,10795,2
10775,10795,1
10777,10795,3
10780,10795,2
10790,10795,3
10792,10795,5
1,10796,3
10041,10796,1
10128,10796,3
1020,10796,3
1025,10796,5
10450,10796,3
10707,10796,2
10708,10796,1
10713,10796,5
10716,10796,3
10721,10796,2
10723,10796,3
10725,10796,3
10734,10796,3
10743,10796,4
10749,10796,2
10764,10796,3
10765,10796,3
10766,10796,5
10769,10796,5
10774,10796,3
10775,10796,3
10777,10796,4
10778,10796,1
10780,10796,2
10790,10796,4
10792,10796,2
10793,10796,3
10021,10819,3
10063,10819,2
10131,10819,1
1025,10819,3
1039,10819,2
10450,10819,2
105204,10819,2
10675006,10819,2
10707,10819,3
10708,10819,1
10713,10819,3
10716,10819,3
10721,10819,5
10723,10819,5
10725,10819,1
10737,10819,1
10743,10819,3
10749,10819,3
10753,10819,2
10761,10819,3
10764,10819,3
10765,10819,3
10766,10819,3
10769,10819,3
10777,10819,3
10778,10819,1
10780,10819,2
10782,10819,3
10790,10819,5
10792,10819,3
10793,10819,5
10047,1084,3
10063,1084,3
10131,1084,3
1025,1084,1
1039,1084,3
105204,1084,3
10675006,1084,5
10707,1084,5
10708,1084,2
10716,1084,2
10717,1084,2
10721,1084,3
10723,1084,3
10725,1084,3
10734,1084,3
10737,1084,4
10743,1084,2
10749,1084,2
10751,1084,3
10753,1084,3
10765,1084,1
10775,1084,1
10778,1084,1
10787,1084,1
10790,1084,3
10792,1084,5
10793,1084,2
10795,1084,3
10796,1084,1
1,10852,2
10021,10852,1
10063,10852,3
10149,10852,3
1025,10852,3
10395,10852,3
10675006,10852,3
10707,10852,3
10708,10852,2
10710,10852,1
10713,10852,3
10716,10852,5
10717,10852,2
10723,10852,1
10725,10852,2
10726,10852,2
10731,10852,3
10734,10852,5
10737,10852,3
10743,10852,3
10749,10852,5
10753,10852,2
10761,10852,2
10764,10852,2
10765,10852,2
10766,10852,2
10769,10852,3
10777,10852,5
10780,10852,3
10782,10852,5
10790,10852,3
10792,10852,5
10793,10852,5
10795,10852,3
10819,10852,3
1084,10852,3
1,1087,3
10063,1087,3
10149,1087,1
1025,1087,3
1039,1087,2
10395,1087,1
10707,1087,3
10708,1087,3
10713,1087,3
10716,1087,3
10717,1087,3
10721,1087,2
10725,1087,1
10726,1087,3
10734,1087,3
10743,1087,3
10749,1087,3
10761,1087,1
10764,1087,1
10766,1087,3
10769,1087,3
10775,1087,1
10777,1087,3
10787,1087,3
10793,1087,3
10795,1087,3
10796,1087,3
10819,1087,3
1,10893,3
10021,10893,2
10041,10893,1
10128,10893,1
10149,10893,2
10395,10893,2
10708,10893,1
10717,10893,1
10726,10893,3
10731,10893,1
10743,10893,2
10777,10893,1
10792,10893,2
10796,10893,2
1,1091,5
10021,1091,5
10041,1091,5
10047,1091,3
10128,1091,5
10131,1091,2
10149,1091,5
1025,1091,1
10395,1091,5
10450,1091,4
10670,1091,3
10675006,1091,2
10708,1091,2
10710,1091,4
10713,1091,2
10716,1091,5
10723,1091,4
10731,1091,5
10743,1091,3
10761,1091,5
10764,1091,1
10765,1091,3
10769,1091,2
10777,1091,3
10778,1091,2
10780,1091,5
10782,1091,5
10790,1091,2
10792,1091,2
10793,1091,3
10796,1091,3
10819,1091,3
10893,1091,1
1,11024517,3
10021,11024517,3
10041,11024517,3
10047,11024517,3
10063,11024517,2
10128,11024517,3
10131,11024517,3
10149,11024517,3
1025,11024517,2
1039,11024517,2
10395,11024517,3
10450,11024517,3
105204,11024517,1
10675006,11024517,3
10708,11024517,3
10710,11024517,3
10716,11024517,3
10717,11024517,1
10721,11024517,1
10723,11024517,3
10725,11024517,1
10726,11024517,2
10731,11024517,3
10734,11024517,2
10749,11024517,2
10751,11024517,3
10753,11024517,3
10761,11024517,3
10764,11024517,2
10765,11024517,3
10774,11024517,1
10778,11024517,1
10780,11024517,3
10782,11024517,3
10787,11024517,3
10790,11024517,3
10792,11024517,3
10793,11024517,2
10819,11024517,2
1084,11024517,3
10852,11024517,3
1091,11024517,3
1,11026082,2
10021,11026082,2
10063,11026082,3
10129,11026082,3
10149,11026082,2
1025,11026082,5
1039,11026082,3
10395,11026082,2
105204,11026082,3
10675006,11026082,3
10707,11026082,2
10708,11026082,3
10710,11026082,4
10713,11026082,5
10716,11026082,5
10717,11026082,3
10721,11026082,1
10723,11026082,2
10725,11026082,3
10726,11026082,3
10731,11026082,2
10734,11026082,3
10737,11026082,2
10743,11026082,4
10749,11026082,5
10753,11026082,1
10761,11026082,2
10764,11026082,3
10765,11026082,4
10766,11026082,4
10769,11026082,4
10774,11026082,3
10775,11026082,1
10777,11026082,4
10778,11026082,2
10780,11026082,2
10787,11026082,4
10790,11026082,4
10792,11026082,5
10793,11026082,2
10795,11026082,3
