"node_1","node_2","edge"
19104,32890376,2
20912,32890376,5
20472,32890376,5
278107,20109,5
22285489,20109,4
19629,20109,5
4722,20109,1
19825,20109,5
20441,20109,2
4416,20109,5
20103,20109,5
20472,20109,5
20666,20109,5
32890376,20109,5
4722,1771,2
32890376,1771,1
19613,119,1
20831,119,5
19978,119,4
2416014,119,5
19825,119,3
4416,119,5
2440270,119,5
22145,119,1
19289,119,5
20472,119,1
32890376,119,1
4416,686,3
38587183,686,1
2440270,686,5
16046029,686,1
20103,686,2
20644,686,2
20666,686,1
32890376,2035,1
19613,2343083,2
20831,2343083,1
3125,2343083,4
19978,2343083,5
2416014,2343083,5
2440270,2343083,5
19289,2343083,5
119,2343083,5
252304,16197305,5
85534,16197305,5
20831,16197305,5
22215170,16197305,5
2440270,16197305,5
119,16197305,3
144191,2046,2
32890376,2046,5
254314,16638,2
4722,16638,5
20103,16638,5
20666,16638,3
2046,16638,3
16046029,207,1
32890376,207,2
16046029,3106,1
19978,10450,5
4416,10450,5
19289,10450,2
20666,10450,3
2416014,11659,1
4416,11659,1
2440270,11659,5
19289,11659,5
20103,11659,3
38565607,11659,3
119,11659,4
2343083,11659,5
3468,2180235,4
19613,2180235,3
3125,2180235,5
19978,2180235,5
2416014,2180235,5
4416,2180235,4
19443,2180235,5
2440270,2180235,5
19289,2180235,5
119,2180235,5
2343083,2180235,5
3106,2180235,1
10450,2180235,5
11659,2180235,5
4722,25142246,3
38587183,25142246,4
20664,25142246,1
2440270,25142246,5
16046029,25142246,5
20103,25142246,4
38565607,25142246,5
11659,25142246,1
2180235,25142246,5
16046029,3622,1
12970,4782,1
3125,4782,2
3127,4782,1
566,4782,3
137295,4782,5
19443,4782,2
10765,4782,4
1771,4782,1
2035,4782,1
2046,4782,5
16638,4782,5
207,4782,1
10450,4782,5
3622,4782,5
32747324,63197,2
19733,63197,5
3125,63197,1
3127,63197,1
20471,63197,2
290457,63197,2
566,63197,2
137295,63197,5
19443,63197,3
38587183,63197,1
10765,63197,2
20912,63197,3
20103,63197,5
20666,63197,5
1771,63197,1
2046,63197,5
16638,63197,5
207,63197,1
10450,63197,5
3622,63197,5
4782,63197,5
20666,2303,1
32890376,3286,2
4782,4100,1
20416,1269570,5
19613,1269570,4
19978,1269570,5
19647,1269570,1
4416,1269570,1
38587183,1269570,1
16046029,1269570,5
19289,1269570,5
144191,2722,5
16046029,2722,5
19289,2722,1
20644,2722,1
19647,2923,4
16046029,2923,5
20103,2923,5
20666,2923,1
16638,2923,2
2180235,2923,1
63197,2923,2
13810583,10766,5
254314,10766,5
3125,10766,3
19629,10766,2
290457,10766,5
4416,10766,3
144191,10766,2
15743798,10766,5
20103,10766,5
20666,10766,5
119,10766,1
2343083,10766,5
16638,10766,1
11659,10766,1
25142246,10766,1
4782,10766,5
63197,10766,5
2923,10766,5
32747324,121931,1
19733,121931,5
17299,121931,1
3125,121931,1
3127,121931,1
20471,121931,3
4722,121931,5
290457,121931,2
2416014,121931,3
144191,121931,5
2440270,121931,5
20912,121931,5
20103,121931,5
20666,121931,5
686,121931,1
11659,121931,5
25142246,121931,5
3622,121931,2
63197,121931,5
2722,121931,5
2923,121931,5
10766,121931,5
4416,57,3
16046029,57,3
20103,57,1
20644,57,1
4416,2344,1
16046029,2344,2
32890376,2344,1
32890376,2751,5
4782,2751,2
63197,2751,1
16046029,10131,5
19289,10131,1
20103,10131,5
20666,10131,5
32890376,10131,5
2180235,10131,1
121931,10131,2
19978,11470,1
4416,11470,1
19289,11470,4
20103,11470,2
32890376,11470,1
10766,11470,2
121931,11470,3
19647,421828,1
20664,421828,1
16046029,421828,5
20103,421828,5
20644,421828,3
38565607,421828,2
4782,421828,5
63197,421828,5
121931,421828,5
16741209,38575541,4
3288,38575541,1
20205,38575541,1
19595,38575541,5
19894,38575541,5
2941,38575541,1
4238,38575541,5
20131,38575541,4
32747324,38575541,5
259,38575541,2
20831,38575541,5
17299,38575541,1
3125,38575541,2
3127,38575541,3
20471,38575541,5
4264,38575541,1
566,38575541,1
2416014,38575541,5
17000313,38575541,5
38587183,38575541,2
10765,38575541,5
20664,38575541,5
20103,38575541,5
20644,38575541,5
38564263,38575541,5
1771,38575541,1
2343083,38575541,5
885,38575541,1
16638,38575541,5
3106,38575541,2
10450,38575541,5
11659,38575541,5
25142246,38575541,5
3622,38575541,1
4100,38575541,2
1269570,38575541,5
2722,38575541,5
2923,38575541,5
10766,38575541,3
57,38575541,5
2344,38575541,1
2751,38575541,1
10131,38575541,5
11470,38575541,5
421828,38575541,5
4416,25565,5
2440270,25565,1
38565607,25565,1
32890376,25565,3
38575541,25565,3
32747324,299019,5
19978,299019,5
17000313,299019,2
38587183,299019,5
20664,299019,5
2440270,299019,5
19289,299019,5
20103,299019,5
20644,299019,5
2180235,299019,5
4782,299019,5
63197,299019,5
38575541,299019,5
16741209,22215032,3
19894,22215032,5
32747324,22215032,5
20831,22215032,5
20471,22215032,2
17000313,22215032,5
20664,22215032,5
20103,22215032,5
20644,22215032,5
38565607,22215032,5
38564263,22215032,1
16197305,22215032,5
1269570,22215032,1
38575541,22215032,5
25565,22215032,3
299019,22215032,5
784359,255,2
4722,255,2
16046029,255,5
38575541,255,5
784359,2710,5
4722,2710,1
19647,2710,1
19825,2710,1
4416,2710,2
16046029,2710,5
32890376,2710,3
38575541,2710,4
13810583,19860,5
20416,19860,5
19613,19860,1
19629,19860,3
19978,19860,5
17000313,19860,1
19647,19860,5
4416,19860,5
38587183,19860,3
2440270,19860,4
16046029,19860,5
20912,19860,4
20103,19860,5
20644,19860,5
20472,19860,1
20666,19860,5
32890376,19860,5
10766,19860,1
121931,19860,5
16741209,12001401,1
4068,12001401,5
4438,12001401,2
19445,12001401,5
4414,12001401,1
20131,12001401,5
19177,12001401,5
20471,12001401,5
19443,12001401,5
3280,12001401,5
20912,12001401,5
2046,12001401,5
10450,12001401,5
3286,12001401,1
20416,2741,5
19978,2741,2
19825,2741,1
4416,2741,5
2440270,2741,2
20666,2741,5
32890376,2741,5
16046029,3267,2
4807,27494,5
229103,27494,5
278389,27494,5
252304,27494,5
100247,27494,5
14103,27494,5
278107,27494,5
85534,27494,5
19733,27494,5
31629106,27494,5
22215170,27494,5
951542,27494,2
18824,27494,3
22145,27494,1
19289,27494,5
20103,27494,5
38565607,27494,5
20666,27494,4
121931,27494,1
22215032,27494,3
4807,133498,5
229103,133498,5
278389,133498,5
252304,133498,5
100247,133498,5
14103,133498,5
278107,133498,5
85534,133498,5
19733,133498,5
31629106,133498,5
22215170,133498,5
951542,133498,4
38587183,133498,1
18824,133498,5
20664,133498,1
22145,133498,1
19289,133498,5
20103,133498,1
38564263,133498,3
20472,133498,2
16197305,133498,4
27494,133498,5
22285489,250757,1
16741209,250757,5
3288,250757,1
20205,250757,3
20368,250757,1
19894,250757,1
19445,250757,5
3295,250757,3
3298,250757,4
4414,250757,5
19198,250757,5
20131,250757,3
19177,250757,3
3447,250757,2
20471,250757,5
17000313,250757,5
951542,250757,5
38587183,250757,5
3280,250757,3
22145,250757,5
20644,250757,5
10450,250757,1
2303,250757,2
1269570,250757,2
2722,250757,2
2751,250757,1
299019,250757,4
3267,250757,3
27494,250757,5
133498,250757,5
100247,252646,4
14103,252646,5
278107,252646,5
85534,252646,5
31629106,252646,4
22215170,252646,5
951542,252646,2
19289,252646,5
16197305,252646,5
27494,252646,4
133498,252646,5
250757,252646,5
4807,12225620,5
229103,12225620,5
278389,12225620,5
252304,12225620,5
100247,12225620,5
14103,12225620,5
278107,12225620,5
85534,12225620,5
20131,12225620,1
19733,12225620,5
31629106,12225620,5
22215170,12225620,5
290457,12225620,1
951542,12225620,4
38587183,12225620,5
18824,12225620,5
20664,12225620,5
22145,12225620,1
19104,12225620,3
19289,12225620,5
20103,12225620,2
20644,12225620,2
38565607,12225620,3
38564263,12225620,5
20472,12225620,1
16197305,12225620,2
27494,12225620,5
133498,12225620,5
250757,12225620,5
252646,12225620,5
20416,2566,2
22215170,2566,2
19978,2566,1
19289,2566,1
32890376,2566,2
38575541,2566,1
14103,604136,1
85534,604136,5
19894,604136,5
20416,604136,5
19613,604136,5
20831,604136,1
20471,604136,5
19978,604136,5
2416014,604136,5
19647,604136,5
38587183,604136,5
20664,604136,5
2440270,604136,4
19104,604136,1
19289,604136,5
20912,604136,5
20103,604136,2
20644,604136,5
38565607,604136,4
2343083,604136,4
2180235,604136,5
38575541,604136,5
299019,604136,3
22215032,604136,2
19860,604136,1
12001401,604136,5
4807,22011,5
229103,22011,5
278389,22011,5
252304,22011,5
13810583,22011,2
100247,22011,5
14103,22011,5
278107,22011,5
22285489,22011,2
85534,22011,5
20131,22011,1
19733,22011,5
31629106,22011,5
22215170,22011,5
951542,22011,4
4416,22011,3
38587183,22011,5
18824,22011,5
20664,22011,5
19104,22011,5
19289,22011,5
20644,22011,3
38564263,22011,5
20472,22011,3
16197305,22011,5
27494,22011,5
133498,22011,5
250757,22011,5
252646,22011,5
12225620,22011,5
4807,194847,5
229103,194847,5
278389,194847,5
252304,194847,5
100247,194847,5
14103,194847,5
278107,194847,5
85534,194847,5
26355171,194847,1
19733,194847,5
31629106,194847,5
22215170,194847,5
4722,194847,2
290457,194847,5
18824,194847,5
19289,194847,5
20103,194847,5
38565607,194847,5
20472,194847,2
20666,194847,5
16197305,194847,4
63197,194847,4
121931,194847,4
22215032,194847,5
27494,194847,5
133498,194847,5
252646,194847,5
12225620,194847,5
22011,194847,5
4807,314136,5
229103,314136,5
278389,314136,5
252304,314136,5
13810583,314136,5
100247,314136,5
14103,314136,5
278107,314136,5
22285489,314136,5
85534,314136,5
20131,314136,3
20377,314136,1
376766,314136,1
26355171,314136,5
